pollster,numeric_grade,pollscore,methodology,transparency_score,start_date,end_date,candidate_name,pct
Gallup,1.8,-1.3,Telephone,7,01/01/2035,11/05/2035,Donald Trump,28
Ipsos,1.6,-1.5,Online Panel,7,01/08/2035,11/12/2035,Pete Buttigieg,71.8
SurveyMonkey,2.4,-1.7,Online Panel,1,01/15/2035,11/19/2035,Bernie Sanders,59.5
SurveyMonkey,2.3,1.5,Online Panel,9,01/22/2035,11/26/2035,Bernie Sanders,29.8
YouGov,1.6,-1.7,Telephone,3,01/29/2035,12/03/2035,Pete Buttigieg,35.7
YouGov,2.8,1.7,Telephone,6,02/05/2035,12/10/2035,Gavin Newsom,63.5
Ipsos,2.8,2.9,Telephone,8,02/12/2035,12/17/2035,Elizabeth Warren,48.6
Gallup,2.2,-0.7,Mixed-mode,5,02/19/2035,12/24/2035,Kamala Harris,6.7
Pew Research,3,0.8,Online Panel,5,02/26/2035,12/31/2035,Bernie Sanders,94.8
SurveyMonkey,1.1,3.3,Telephone,2,03/05/2035,01/07/2036,Pete Buttigieg,90.3
YouGov,1.6,0.6,Online Panel,1,03/12/2035,01/14/2036,Pete Buttigieg,22.2
SurveyMonkey,1.5,3.3,Mixed-mode,2,03/19/2035,01/21/2036,Bernie Sanders,21.6
Gallup,2,-1.1,Mixed-mode,6,03/26/2035,01/28/2036,Elizabeth Warren,75.3
YouGov,1.4,4.4,Mixed-mode,3,04/02/2035,02/04/2036,Kamala Harris,79.5
Pew Research,2.6,1.3,Online Panel,3,04/09/2035,02/11/2036,Bernie Sanders,68.8
Ipsos,2.7,-1.8,Telephone,3,04/16/2035,02/18/2036,Kamala Harris,59.4
YouGov,1.1,-0.6,Telephone,9,04/23/2035,02/25/2036,Bernie Sanders,72.7
Gallup,1.9,1.6,Telephone,1,04/30/2035,03/03/2036,Bernie Sanders,40.6
SurveyMonkey,1.9,4.1,Online Panel,1,05/07/2035,03/10/2036,Elizabeth Warren,10.9
SurveyMonkey,1.7,2.3,Online Panel,9,05/14/2035,03/17/2036,Gavin Newsom,45.3
YouGov,2.3,4.2,In-person,5,05/21/2035,03/24/2036,Gavin Newsom,88.2
Ipsos,1.5,4,Telephone,1,05/28/2035,03/31/2036,Kamala Harris,62.6
YouGov,2.8,3.2,In-person,6,06/04/2035,04/07/2036,Elizabeth Warren,19.5
Ipsos,1.3,1.3,Telephone,5,06/11/2035,04/14/2036,Elizabeth Warren,47.9
Ipsos,1.6,1.8,Online Panel,0,06/18/2035,04/21/2036,Donald Trump,58.6
Gallup,1.1,3.1,Online Panel,7,06/25/2035,04/28/2036,Kamala Harris,15.1
Pew Research,2,3.9,Mixed-mode,8,07/02/2035,05/05/2036,Donald Trump,73.4
Pew Research,2.7,-0.7,In-person,3,07/09/2035,05/12/2036,Gavin Newsom,33.8
Pew Research,1.1,-1.1,Mixed-mode,8,07/16/2035,05/19/2036,Pete Buttigieg,79.6
Gallup,2.3,4.7,Telephone,1,07/23/2035,05/26/2036,Kamala Harris,23.9
YouGov,1.9,-1,Mixed-mode,0,07/30/2035,06/02/2036,Pete Buttigieg,65.2
SurveyMonkey,2.1,0.4,Online Panel,1,08/06/2035,06/09/2036,Gavin Newsom,19.9
SurveyMonkey,2.3,0.1,In-person,3,08/13/2035,06/16/2036,Gavin Newsom,26.7
Gallup,1.2,-0.4,Telephone,8,08/20/2035,06/23/2036,Donald Trump,23.5
Ipsos,2.8,3.8,Mixed-mode,8,08/27/2035,06/30/2036,Gavin Newsom,48.8
Pew Research,1.8,-0.4,Telephone,0,09/03/2035,07/07/2036,Gavin Newsom,88
Gallup,2.1,4.9,Telephone,3,09/10/2035,07/14/2036,Kamala Harris,93.1
Gallup,1,2.7,In-person,2,09/17/2035,07/21/2036,Pete Buttigieg,31
YouGov,1.5,0.9,Telephone,8,09/24/2035,07/28/2036,Donald Trump,43.9
SurveyMonkey,2.8,4.2,Mixed-mode,7,10/01/2035,08/04/2036,Donald Trump,71.5
SurveyMonkey,2.3,-0.8,Telephone,2,10/08/2035,08/11/2036,Gavin Newsom,27
Gallup,2,2.4,Mixed-mode,4,10/15/2035,08/18/2036,Elizabeth Warren,84.8
Ipsos,2.5,4.8,Online Panel,6,10/22/2035,08/25/2036,Kamala Harris,7.5
Ipsos,2.6,-1.6,Telephone,5,10/29/2035,09/01/2036,Gavin Newsom,72.2
Ipsos,2,-0.9,Mixed-mode,8,11/05/2035,09/08/2036,Pete Buttigieg,87.7
YouGov,2.7,4.4,Online Panel,0,11/12/2035,09/15/2036,Elizabeth Warren,26.2
Pew Research,2.8,2.7,Telephone,7,11/19/2035,09/22/2036,Kamala Harris,15.6
Gallup,1.3,1.4,In-person,1,11/26/2035,09/29/2036,Elizabeth Warren,25
YouGov,2.4,-0.4,Mixed-mode,8,12/03/2035,10/06/2036,Pete Buttigieg,56.9
Gallup,2,-1.5,Online Panel,3,12/10/2035,10/13/2036,Gavin Newsom,34.7
Pew Research,1.6,3.6,Online Panel,9,12/17/2035,10/20/2036,Gavin Newsom,68.3
Ipsos,2.2,4.8,Online Panel,7,12/24/2035,10/27/2036,Elizabeth Warren,10.9
Pew Research,1,2.7,Mixed-mode,7,12/31/2035,11/03/2036,Donald Trump,25.6
Gallup,1.6,-1.8,In-person,7,01/07/2036,11/10/2036,Kamala Harris,29.8
YouGov,2.6,0.6,Online Panel,7,01/14/2036,11/17/2036,Donald Trump,59.4
SurveyMonkey,2.3,4.9,Online Panel,4,01/21/2036,11/24/2036,Donald Trump,67.9
Pew Research,2.6,3.4,Online Panel,3,01/28/2036,12/01/2036,Pete Buttigieg,54.1
YouGov,2.3,-1.3,Online Panel,7,02/04/2036,12/08/2036,Pete Buttigieg,5.4
YouGov,2.1,0.1,Mixed-mode,1,02/11/2036,12/15/2036,Gavin Newsom,65.2
Pew Research,1.1,2.2,In-person,1,02/18/2036,12/22/2036,Elizabeth Warren,65.8
Pew Research,1.5,3.8,In-person,6,02/25/2036,12/29/2036,Pete Buttigieg,99
Gallup,1.3,-1.4,In-person,4,03/03/2036,01/05/2037,Bernie Sanders,58.6
SurveyMonkey,2.5,0.5,In-person,1,03/10/2036,01/12/2037,Elizabeth Warren,20.6
Ipsos,2.3,1.8,In-person,7,03/17/2036,01/19/2037,Pete Buttigieg,63.5
SurveyMonkey,1.8,0.2,Online Panel,1,03/24/2036,01/26/2037,Pete Buttigieg,81.7
SurveyMonkey,2.8,3,Online Panel,4,03/31/2036,02/02/2037,Bernie Sanders,0.8
Ipsos,1.6,2.6,In-person,6,04/07/2036,02/09/2037,Gavin Newsom,55.9
Ipsos,2.4,-1.6,Mixed-mode,3,04/14/2036,02/16/2037,Kamala Harris,50.3
Gallup,2.4,3.3,Online Panel,2,04/21/2036,02/23/2037,Elizabeth Warren,26.9
Gallup,1.5,0.9,Mixed-mode,6,04/28/2036,03/02/2037,Elizabeth Warren,46.1
Gallup,1.5,3.3,Online Panel,3,05/05/2036,03/09/2037,Pete Buttigieg,53.8
SurveyMonkey,1.8,0.5,Mixed-mode,9,05/12/2036,03/16/2037,Gavin Newsom,26
Ipsos,2.3,3.4,Mixed-mode,1,05/19/2036,03/23/2037,Bernie Sanders,49.7
Gallup,2.1,4.3,Telephone,2,05/26/2036,03/30/2037,Gavin Newsom,98.4
Pew Research,1.8,0.9,Online Panel,5,06/02/2036,04/06/2037,Bernie Sanders,80.6
SurveyMonkey,2.3,2.5,In-person,3,06/09/2036,04/13/2037,Gavin Newsom,33.2
Ipsos,1.3,-1.9,In-person,4,06/16/2036,04/20/2037,Elizabeth Warren,17.1
SurveyMonkey,2.6,3.4,Online Panel,4,06/23/2036,04/27/2037,Pete Buttigieg,25.8
SurveyMonkey,2.5,2.8,Telephone,0,06/30/2036,05/04/2037,Gavin Newsom,21.1
SurveyMonkey,2.4,2.7,In-person,9,07/07/2036,05/11/2037,Donald Trump,95.5
YouGov,1.8,1.5,Mixed-mode,7,07/14/2036,05/18/2037,Gavin Newsom,3.2
YouGov,1.4,2.2,Online Panel,4,07/21/2036,05/25/2037,Bernie Sanders,19.9
Ipsos,2.1,4,Online Panel,9,07/28/2036,06/01/2037,Kamala Harris,44.2
SurveyMonkey,2.6,-1.2,Mixed-mode,2,08/04/2036,06/08/2037,Pete Buttigieg,55
Gallup,2.9,0.4,Online Panel,8,08/11/2036,06/15/2037,Kamala Harris,87.3
Ipsos,2.4,2.4,Online Panel,5,08/18/2036,06/22/2037,Pete Buttigieg,14.7
YouGov,1.6,3.3,Telephone,1,08/25/2036,06/29/2037,Bernie Sanders,73
SurveyMonkey,1,1.1,Online Panel,4,09/01/2036,07/06/2037,Elizabeth Warren,90.8
Ipsos,2.3,-1.3,Mixed-mode,4,09/08/2036,07/13/2037,Pete Buttigieg,20.4
Gallup,2.4,-1.8,Telephone,0,09/15/2036,07/20/2037,Elizabeth Warren,10.4
Gallup,1.6,4.7,Mixed-mode,0,09/22/2036,07/27/2037,Gavin Newsom,30.3
Pew Research,2.8,3.9,In-person,7,09/29/2036,08/03/2037,Gavin Newsom,39.3
Ipsos,1.3,-0.9,In-person,4,10/06/2036,08/10/2037,Donald Trump,21
SurveyMonkey,2.6,2.8,In-person,7,10/13/2036,08/17/2037,Elizabeth Warren,25.4
Gallup,2.7,-1.6,Online Panel,7,10/20/2036,08/24/2037,Elizabeth Warren,57.4
Ipsos,1.3,2.7,Mixed-mode,9,10/27/2036,08/31/2037,Gavin Newsom,74
Ipsos,2.5,-1.6,Online Panel,6,11/03/2036,09/07/2037,Donald Trump,36.6
Pew Research,2.2,4.5,Mixed-mode,8,11/10/2036,09/14/2037,Bernie Sanders,24.2
Pew Research,2.2,3.2,Online Panel,9,11/17/2036,09/21/2037,Bernie Sanders,21.4
YouGov,3,1.5,Telephone,5,11/24/2036,09/28/2037,Pete Buttigieg,67.5
SurveyMonkey,1.9,1.4,Telephone,4,12/01/2036,10/05/2037,Kamala Harris,28.8
Pew Research,2.5,2.3,Mixed-mode,7,12/08/2036,10/12/2037,Gavin Newsom,34
SurveyMonkey,2.8,0.3,Mixed-mode,9,12/15/2036,10/19/2037,Pete Buttigieg,84.7
YouGov,2,-1.7,Telephone,4,12/22/2036,10/26/2037,Kamala Harris,73.6
SurveyMonkey,2.2,-0,Telephone,1,12/29/2036,11/02/2037,Kamala Harris,9.9
Gallup,2.6,0.2,Telephone,9,01/05/2037,11/09/2037,Donald Trump,45.3
Ipsos,1.8,-0.1,Online Panel,4,01/12/2037,11/16/2037,Elizabeth Warren,40.4
YouGov,2.8,3.5,In-person,9,01/19/2037,11/23/2037,Pete Buttigieg,79.1
Pew Research,1.4,0.1,Mixed-mode,5,01/26/2037,11/30/2037,Elizabeth Warren,62.2
Pew Research,1.6,0.9,Telephone,0,02/02/2037,12/07/2037,Gavin Newsom,59.2
SurveyMonkey,1.6,4.8,Online Panel,6,02/09/2037,12/14/2037,Bernie Sanders,90.4
Ipsos,1.7,3.8,Mixed-mode,3,02/16/2037,12/21/2037,Elizabeth Warren,78
Pew Research,2.8,0.2,Telephone,1,02/23/2037,12/28/2037,Pete Buttigieg,6.1
SurveyMonkey,2.1,-1.7,Telephone,6,03/02/2037,01/04/2038,Gavin Newsom,94.7
Pew Research,2.8,-0.7,Mixed-mode,4,03/09/2037,01/11/2038,Donald Trump,73.2
Ipsos,2.5,-0.4,Mixed-mode,3,03/16/2037,01/18/2038,Donald Trump,61.6
Ipsos,1.1,-1.2,In-person,7,03/23/2037,01/25/2038,Gavin Newsom,53.7
Ipsos,2.3,1.9,Online Panel,8,03/30/2037,02/01/2038,Donald Trump,11.3
Pew Research,1,3,Telephone,4,04/06/2037,02/08/2038,Pete Buttigieg,19.2
YouGov,2.6,-1.5,Online Panel,0,04/13/2037,02/15/2038,Bernie Sanders,77.3
Pew Research,2.7,-1.9,Telephone,0,04/20/2037,02/22/2038,Bernie Sanders,8
Pew Research,2.9,2.1,Telephone,2,04/27/2037,03/01/2038,Gavin Newsom,69.5
Pew Research,3,3.2,Online Panel,5,05/04/2037,03/08/2038,Bernie Sanders,42.4
Gallup,1.5,2,In-person,0,05/11/2037,03/15/2038,Pete Buttigieg,31.9
Pew Research,2.6,-0.5,Online Panel,7,05/18/2037,03/22/2038,Gavin Newsom,97.9
Ipsos,2.4,1.6,Telephone,8,05/25/2037,03/29/2038,Donald Trump,50.5
SurveyMonkey,1.8,-1.4,In-person,7,06/01/2037,04/05/2038,Donald Trump,46.5
YouGov,2.4,-1.3,Online Panel,6,06/08/2037,04/12/2038,Donald Trump,67.8
Gallup,1.2,4.9,Online Panel,6,06/15/2037,04/19/2038,Bernie Sanders,32.4
Pew Research,2.2,2.5,Mixed-mode,1,06/22/2037,04/26/2038,Bernie Sanders,93.1
YouGov,2.6,2.5,Online Panel,1,06/29/2037,05/03/2038,Donald Trump,94.7
SurveyMonkey,1.5,-0.5,Mixed-mode,5,07/06/2037,05/10/2038,Donald Trump,79.5
Gallup,2.9,3.4,Online Panel,9,07/13/2037,05/17/2038,Donald Trump,85.4
Pew Research,1.5,3.4,Telephone,1,07/20/2037,05/24/2038,Gavin Newsom,83.4
SurveyMonkey,2.8,3.7,Mixed-mode,4,07/27/2037,05/31/2038,Donald Trump,74.9
Gallup,2.1,-0.9,Online Panel,7,08/03/2037,06/07/2038,Bernie Sanders,38.6
SurveyMonkey,2,2.8,Telephone,4,08/10/2037,06/14/2038,Elizabeth Warren,44.7
YouGov,2.5,0.7,Telephone,5,08/17/2037,06/21/2038,Gavin Newsom,20.6
Gallup,1.9,3.9,In-person,2,08/24/2037,06/28/2038,Kamala Harris,32.6
Gallup,2.3,2.9,Telephone,7,08/31/2037,07/05/2038,Gavin Newsom,47.4
Pew Research,2.2,1.3,In-person,4,09/07/2037,07/12/2038,Bernie Sanders,42.6
YouGov,2.3,-0,In-person,5,09/14/2037,07/19/2038,Donald Trump,14.3
Pew Research,1.9,1.4,Mixed-mode,1,09/21/2037,07/26/2038,Elizabeth Warren,14.6
SurveyMonkey,2.3,0.4,Telephone,7,09/28/2037,08/02/2038,Gavin Newsom,92.2
Pew Research,1,0.4,In-person,0,10/05/2037,08/09/2038,Kamala Harris,40.5
Ipsos,2,1.8,Online Panel,0,10/12/2037,08/16/2038,Gavin Newsom,27.1
Pew Research,2,1.5,Mixed-mode,0,10/19/2037,08/23/2038,Bernie Sanders,93.4
Pew Research,3,0.7,Telephone,3,10/26/2037,08/30/2038,Pete Buttigieg,62
YouGov,2.2,2.7,In-person,7,11/02/2037,09/06/2038,Kamala Harris,31
Gallup,2.3,-1,Telephone,8,11/09/2037,09/13/2038,Bernie Sanders,3.2
SurveyMonkey,1.8,1.1,Online Panel,8,11/16/2037,09/20/2038,Donald Trump,16.3
Gallup,2.1,0.9,In-person,0,11/23/2037,09/27/2038,Gavin Newsom,29.5
Ipsos,1.1,1.9,In-person,6,11/30/2037,10/04/2038,Donald Trump,87.8
SurveyMonkey,1.5,4.7,In-person,7,12/07/2037,10/11/2038,Donald Trump,29.6
Ipsos,1.7,-0.2,Mixed-mode,8,12/14/2037,10/18/2038,Donald Trump,83.7
Ipsos,2.7,2.5,Online Panel,8,12/21/2037,10/25/2038,Kamala Harris,65.3
YouGov,2.6,1.5,Mixed-mode,0,12/28/2037,11/01/2038,Elizabeth Warren,64.5
Gallup,1.4,-1.5,Mixed-mode,2,01/04/2038,11/08/2038,Bernie Sanders,44.8
Gallup,1.9,3.4,Online Panel,0,01/11/2038,11/15/2038,Donald Trump,98.5
YouGov,2.1,-1.3,Online Panel,2,01/18/2038,11/22/2038,Donald Trump,3
SurveyMonkey,2.5,3.7,Telephone,1,01/25/2038,11/29/2038,Bernie Sanders,46.9
Ipsos,2.2,3.5,Telephone,3,02/01/2038,12/06/2038,Kamala Harris,10.1
Pew Research,2.1,0.5,Online Panel,0,02/08/2038,12/13/2038,Donald Trump,96.6
Gallup,1.7,-1.1,Mixed-mode,3,02/15/2038,12/20/2038,Donald Trump,52.9
Pew Research,2,1.1,Online Panel,5,02/22/2038,12/27/2038,Pete Buttigieg,16
SurveyMonkey,1.8,-0.1,Online Panel,6,03/01/2038,01/03/2039,Bernie Sanders,40.4
Ipsos,1,1.2,Mixed-mode,6,03/08/2038,01/10/2039,Kamala Harris,19.6
Ipsos,1.3,1.2,In-person,3,03/15/2038,01/17/2039,Gavin Newsom,63.7
Gallup,1.4,-1.2,Online Panel,8,03/22/2038,01/24/2039,Donald Trump,4.7
Gallup,1.3,3.9,Telephone,6,03/29/2038,01/31/2039,Bernie Sanders,36.1
Pew Research,1.8,2.1,Mixed-mode,3,04/05/2038,02/07/2039,Pete Buttigieg,94
Gallup,1.8,-1.1,Telephone,2,04/12/2038,02/14/2039,Bernie Sanders,70.2
YouGov,1.5,-0.8,Telephone,4,04/19/2038,02/21/2039,Pete Buttigieg,14.1
Gallup,2.4,-1.3,Telephone,8,04/26/2038,02/28/2039,Gavin Newsom,39.2
YouGov,2.2,-0.6,In-person,7,05/03/2038,03/07/2039,Bernie Sanders,54.2
Pew Research,1.8,-0.4,Online Panel,4,05/10/2038,03/14/2039,Bernie Sanders,27.6
Ipsos,1.7,3.2,Mixed-mode,8,05/17/2038,03/21/2039,Pete Buttigieg,66.5
Pew Research,1.8,0.4,In-person,8,05/24/2038,03/28/2039,Kamala Harris,46.7
Ipsos,2.1,4.9,Telephone,0,05/31/2038,04/04/2039,Gavin Newsom,47.1
YouGov,1.8,-0.3,Mixed-mode,9,06/07/2038,04/11/2039,Kamala Harris,10.6
Ipsos,2.3,-0.8,Online Panel,6,06/14/2038,04/18/2039,Bernie Sanders,44.4
Pew Research,2.4,3,Mixed-mode,2,06/21/2038,04/25/2039,Donald Trump,19.4
Gallup,1.3,3.5,Telephone,5,06/28/2038,05/02/2039,Kamala Harris,11.1
YouGov,2.3,0.9,Telephone,4,07/05/2038,05/09/2039,Donald Trump,10.5
SurveyMonkey,1.9,0.3,Mixed-mode,5,07/12/2038,05/16/2039,Bernie Sanders,72.9
Ipsos,1.1,2.5,Mixed-mode,6,07/19/2038,05/23/2039,Bernie Sanders,74.3
Ipsos,1.6,1.7,Mixed-mode,3,07/26/2038,05/30/2039,Kamala Harris,93.5
SurveyMonkey,2.3,0.7,In-person,3,08/02/2038,06/06/2039,Kamala Harris,20.9
SurveyMonkey,2.2,3.9,Telephone,1,08/09/2038,06/13/2039,Kamala Harris,16.1
Ipsos,1.3,0.8,Mixed-mode,2,08/16/2038,06/20/2039,Elizabeth Warren,32.2
Ipsos,2.3,3.9,In-person,7,08/23/2038,06/27/2039,Donald Trump,93.3
SurveyMonkey,2.3,0.1,Online Panel,4,08/30/2038,07/04/2039,Bernie Sanders,88.1
Ipsos,2.3,4.7,Telephone,4,09/06/2038,07/11/2039,Bernie Sanders,59.7
YouGov,1.4,-0.4,Online Panel,9,09/13/2038,07/18/2039,Bernie Sanders,29.8
SurveyMonkey,2.7,2.1,Mixed-mode,2,09/20/2038,07/25/2039,Donald Trump,93.6
Ipsos,1.2,2,In-person,6,09/27/2038,08/01/2039,Elizabeth Warren,76.7
Pew Research,2.8,-0.9,Telephone,8,10/04/2038,08/08/2039,Pete Buttigieg,3.6
YouGov,2.5,-1.4,Telephone,6,10/11/2038,08/15/2039,Elizabeth Warren,32.5
Pew Research,1.3,5,Mixed-mode,9,10/18/2038,08/22/2039,Elizabeth Warren,80.7
Ipsos,2.6,-0.7,Telephone,2,10/25/2038,08/29/2039,Kamala Harris,92.9
Gallup,1.8,3.4,Online Panel,0,11/01/2038,09/05/2039,Elizabeth Warren,87.6
YouGov,1.2,-1.9,In-person,0,11/08/2038,09/12/2039,Elizabeth Warren,69.6
YouGov,2.5,2.1,Mixed-mode,2,11/15/2038,09/19/2039,Elizabeth Warren,51.3
Gallup,2.7,2,In-person,6,11/22/2038,09/26/2039,Kamala Harris,47.7
Ipsos,2.6,3.2,In-person,3,11/29/2038,10/03/2039,Pete Buttigieg,31.6
Pew Research,2.3,3.8,In-person,8,12/06/2038,10/10/2039,Bernie Sanders,17.7
SurveyMonkey,2,-1.3,Telephone,9,12/13/2038,10/17/2039,Bernie Sanders,10
Ipsos,3,3.8,Telephone,8,12/20/2038,10/24/2039,Kamala Harris,48.5
Gallup,2.8,0.4,Online Panel,5,12/27/2038,10/31/2039,Donald Trump,90.8
Pew Research,2.6,-0.7,In-person,5,01/03/2039,11/07/2039,Donald Trump,12.8
YouGov,2.7,0.3,Mixed-mode,0,01/10/2039,11/14/2039,Elizabeth Warren,3.1
YouGov,2.7,3.3,In-person,3,01/17/2039,11/21/2039,Gavin Newsom,9.3
YouGov,2.4,2.2,In-person,7,01/24/2039,11/28/2039,Donald Trump,6.6
Pew Research,2.9,3.8,Online Panel,2,01/31/2039,12/05/2039,Donald Trump,29.2
Gallup,2.9,4.6,In-person,9,02/07/2039,12/12/2039,Kamala Harris,56.3
SurveyMonkey,1.7,-0.9,Telephone,3,02/14/2039,12/19/2039,Bernie Sanders,81.9
YouGov,2.9,4.3,Telephone,9,02/21/2039,12/26/2039,Bernie Sanders,26.7
Gallup,1.2,4.6,Telephone,0,02/28/2039,01/02/2040,Bernie Sanders,5.2
YouGov,1.1,1.1,Telephone,8,03/07/2039,01/09/2040,Bernie Sanders,52.5
YouGov,2.9,0.8,In-person,9,03/14/2039,01/16/2040,Donald Trump,50.4
Gallup,1.5,4.8,In-person,7,03/21/2039,01/23/2040,Bernie Sanders,30.3
YouGov,2.2,4.9,Telephone,6,03/28/2039,01/30/2040,Bernie Sanders,64.3
SurveyMonkey,2.6,-1.5,In-person,6,04/04/2039,02/06/2040,Donald Trump,10.6
Pew Research,2.7,3.2,Telephone,2,04/11/2039,02/13/2040,Bernie Sanders,25.9
SurveyMonkey,2.4,4.9,Mixed-mode,5,04/18/2039,02/20/2040,Pete Buttigieg,8.1
Gallup,2.7,4.6,Telephone,0,04/25/2039,02/27/2040,Pete Buttigieg,73.3
Ipsos,1.2,-1.6,Online Panel,1,05/02/2039,03/05/2040,Elizabeth Warren,80
SurveyMonkey,1.9,-0.9,Online Panel,5,05/09/2039,03/12/2040,Pete Buttigieg,41.1
YouGov,1.8,-1.3,Online Panel,9,05/16/2039,03/19/2040,Pete Buttigieg,47.6
Gallup,1.9,0.1,Mixed-mode,8,05/23/2039,03/26/2040,Pete Buttigieg,92.2
Gallup,1.9,-0.1,Mixed-mode,1,05/30/2039,04/02/2040,Kamala Harris,43
YouGov,2,-1.8,Telephone,1,06/06/2039,04/09/2040,Gavin Newsom,41.6
Pew Research,2.2,-1.5,Mixed-mode,6,06/13/2039,04/16/2040,Donald Trump,33.2
Ipsos,2.4,4.7,Telephone,9,06/20/2039,04/23/2040,Pete Buttigieg,61
Ipsos,1.2,1.5,In-person,9,06/27/2039,04/30/2040,Kamala Harris,3.9
Ipsos,2.9,-0.6,In-person,1,07/04/2039,05/07/2040,Pete Buttigieg,79.1
Gallup,1.6,1.1,Mixed-mode,7,07/11/2039,05/14/2040,Gavin Newsom,38.5
SurveyMonkey,2.2,0.5,In-person,6,07/18/2039,05/21/2040,Donald Trump,58.9
Ipsos,2.6,3.7,Mixed-mode,1,07/25/2039,05/28/2040,Gavin Newsom,84.3
SurveyMonkey,1.7,0.3,Online Panel,3,08/01/2039,06/04/2040,Kamala Harris,61.7
Pew Research,2.7,-1,Telephone,0,08/08/2039,06/11/2040,Gavin Newsom,19.4
Ipsos,1.7,0.7,In-person,0,08/15/2039,06/18/2040,Elizabeth Warren,21.5
YouGov,2.3,2.6,In-person,9,08/22/2039,06/25/2040,Gavin Newsom,28.6
Ipsos,1.9,2.7,Online Panel,7,08/29/2039,07/02/2040,Bernie Sanders,15.1
Pew Research,1.8,0.1,In-person,6,09/05/2039,07/09/2040,Bernie Sanders,14.6
YouGov,1.4,-0.2,Online Panel,5,09/12/2039,07/16/2040,Gavin Newsom,81.4
Pew Research,2.3,0.4,Telephone,8,09/19/2039,07/23/2040,Gavin Newsom,14.1
YouGov,1.4,2.9,Mixed-mode,1,09/26/2039,07/30/2040,Kamala Harris,28
YouGov,2.3,3.6,In-person,4,10/03/2039,08/06/2040,Donald Trump,69.8
SurveyMonkey,1.6,-0.5,Mixed-mode,7,10/10/2039,08/13/2040,Bernie Sanders,77
Pew Research,2.8,4.7,In-person,5,10/17/2039,08/20/2040,Elizabeth Warren,56.4
Gallup,1.9,-1.7,In-person,8,10/24/2039,08/27/2040,Elizabeth Warren,99
SurveyMonkey,2.9,1.6,Telephone,2,10/31/2039,09/03/2040,Bernie Sanders,45.2
Gallup,1.5,0,In-person,1,11/07/2039,09/10/2040,Donald Trump,95.5
Pew Research,2,1.8,In-person,0,11/14/2039,09/17/2040,Gavin Newsom,75.2
Gallup,2,-1.5,Telephone,4,11/21/2039,09/24/2040,Elizabeth Warren,92.2
Pew Research,1.3,-0.8,Online Panel,1,11/28/2039,10/01/2040,Kamala Harris,54.2
Gallup,1.9,0.9,In-person,4,12/05/2039,10/08/2040,Donald Trump,48.1
SurveyMonkey,2.9,1.1,In-person,7,12/12/2039,10/15/2040,Donald Trump,17.8
Gallup,2,1,Telephone,7,12/19/2039,10/22/2040,Donald Trump,88.9
Pew Research,2.2,-1.7,Mixed-mode,8,12/26/2039,10/29/2040,Pete Buttigieg,59.7
Pew Research,1.4,2,Mixed-mode,0,01/02/2040,11/05/2040,Donald Trump,45.6
Pew Research,1.5,1.8,Telephone,3,01/09/2040,11/12/2040,Kamala Harris,52.2
Pew Research,1.6,2.3,In-person,2,01/16/2040,11/19/2040,Elizabeth Warren,98.5
Ipsos,1.7,4.9,Mixed-mode,8,01/23/2040,11/26/2040,Elizabeth Warren,65.7
Gallup,2.5,0.6,Online Panel,7,01/30/2040,12/03/2040,Donald Trump,85.1
Ipsos,2.4,3,In-person,6,02/06/2040,12/10/2040,Elizabeth Warren,38.1
Pew Research,2.2,0.4,Online Panel,3,02/13/2040,12/17/2040,Donald Trump,46.9
Pew Research,1.8,2.1,Telephone,7,02/20/2040,12/24/2040,Donald Trump,34.9
Pew Research,2.1,-1.8,In-person,2,02/27/2040,12/31/2040,Bernie Sanders,62.8
Ipsos,2.2,3.5,Mixed-mode,8,03/05/2040,01/07/2041,Gavin Newsom,99
YouGov,2,-0.1,Online Panel,2,03/12/2040,01/14/2041,Gavin Newsom,23.2
Gallup,3,4.2,Mixed-mode,4,03/19/2040,01/21/2041,Pete Buttigieg,13.5
Pew Research,1.4,0.8,Online Panel,8,03/26/2040,01/28/2041,Elizabeth Warren,11.3
YouGov,2.2,4.6,In-person,2,04/02/2040,02/04/2041,Elizabeth Warren,96.1
Ipsos,2.2,1.2,Mixed-mode,7,04/09/2040,02/11/2041,Bernie Sanders,26
Pew Research,2.1,-1.1,Mixed-mode,6,04/16/2040,02/18/2041,Bernie Sanders,61.4
YouGov,1.8,-0.7,Mixed-mode,5,04/23/2040,02/25/2041,Kamala Harris,45.9
Ipsos,1.5,-1,Online Panel,2,04/30/2040,03/04/2041,Pete Buttigieg,97
YouGov,2.5,1.9,Online Panel,2,05/07/2040,03/11/2041,Donald Trump,72.6
Ipsos,1.6,2.9,Telephone,3,05/14/2040,03/18/2041,Kamala Harris,23.6
SurveyMonkey,2.3,-1.4,Telephone,4,05/21/2040,03/25/2041,Pete Buttigieg,95.1
Ipsos,2.8,1.3,Telephone,3,05/28/2040,04/01/2041,Bernie Sanders,40.5
SurveyMonkey,2.5,-1.2,Telephone,1,06/04/2040,04/08/2041,Donald Trump,81.7
SurveyMonkey,1.4,0.8,Mixed-mode,5,06/11/2040,04/15/2041,Elizabeth Warren,87.7
SurveyMonkey,1,0.5,In-person,3,06/18/2040,04/22/2041,Bernie Sanders,49.4
Gallup,1.1,2.9,Online Panel,8,06/25/2040,04/29/2041,Donald Trump,8.6
